,0,1,2,3
"Art. 3º Os conselhos e tribunais deverão considerar as peculiaridades de cada ramo de Justiça e as características socioeconômicas regionais, com iniciativas financeiras e não financeiras, contemplando obrigatoriamente, no mínimo, as seguintes ações: 
(...)
II – prioridade para designação de magistrado(a) substituto(a) ou auxiliar, de residente(s) jurídico(s), de assistente(s) e assessor(es) e de servidor(es) para a unidade de lotação, presencialmente ou por teletrabalho;  
(...)",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 3º Os conselhos e tribunais deverão considerar as peculiaridades de cada ramo de Justiça e as características socioeconômicas regionais, com iniciativas financeiras e não financeiras, contemplando obrigatoriamente, no mínimo, as seguintes ações: 
(...)
III – prioridade para a distribuição e redistribuição eletrônica de processos, preferencialmente no âmbito do Programa Justiça 4.0 e do Juízo 100% Digital, para outras unidades judiciárias de igual competência visando equalizar a carga de trabalho dos(as) magistrados(as) dessas unidades para quantitativos não superiores à média dos(as) demais magistrados(as) do tribunal, de mesma competência, e reduzir proporcionalmente o volume ou acervo processual;   
(...)",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 3º Os conselhos e tribunais deverão considerar as peculiaridades de cada ramo de Justiça e as características socioeconômicas regionais, com iniciativas financeiras e não financeiras, contemplando obrigatoriamente, no mínimo, as seguintes ações: 
(...)
IV – ampliação temporária do quadro de pessoal da unidade, presencialmente ou por teletrabalho, quando houver volume processual ou carga de trabalho acima da média do tribunal para varas de mesma competência, ou casos de maior complexidade ou de grande repercussão;   
(...)",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 3º Os conselhos e tribunais deverão considerar as peculiaridades de cada ramo de Justiça e as características socioeconômicas regionais, com iniciativas financeiras e não financeiras, contemplando obrigatoriamente, no mínimo, as seguintes ações: 
(...)
V – ampliação dos quadros de lotação de polícia judiciária na comarca e a alocação de veículo funcional compatível para os deslocamentos na região, nos casos em que os municípios integrantes da comarca forem de difícil acesso ou desprovidos de estrutura de segurança pública suficiente; 
(...)",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 3º Os conselhos e tribunais deverão considerar as peculiaridades de cada ramo de Justiça e as características socioeconômicas regionais, com iniciativas financeiras e não financeiras, contemplando obrigatoriamente, no mínimo, as seguintes ações: 
(...)
VI – prioridade para a melhoria das instalações físicas, da infraestrutura e da segurança da unidade judiciária;  
(...)",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 3º Os conselhos e tribunais deverão considerar as peculiaridades de cada ramo de Justiça e as características socioeconômicas regionais, com iniciativas financeiras e não financeiras, contemplando obrigatoriamente, no mínimo, as seguintes ações: 
(...)
VII – valorização do tempo de lotação e residência na sede da comarca para fins de remoção e promoção ou acesso por merecimento;  
(...)",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 3º Os conselhos e tribunais deverão considerar as peculiaridades de cada ramo de Justiça e as características socioeconômicas regionais, com iniciativas financeiras e não financeiras, contemplando obrigatoriamente, no mínimo, as seguintes ações: 
(...)
VIII – concessão de licença compensatória proporcional ao tempo de lotação e de residência na sede da comarca. ",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 4º Até que sobrevenha o Estatuto da Magistratura, a valorização para fins de remoção e promoção ou acesso por merecimento, prevista no inciso VII do art. 3º, consistirá em adicional de valorização por lotação especial, o qual incidirá após a apuração da média final do candidato, nos termos do art. 11, ou do art. 11-A, caso previsto no regimento interno do tribunal, ambos da Resolução CNJ nº 106/2010.  
(...)",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 4º Até que sobrevenha o Estatuto da Magistratura, a valorização para fins de remoção e promoção ou acesso por merecimento, prevista no inciso VII do art. 3º, consistirá em adicional de valorização por lotação especial, o qual incidirá após a apuração da média final do candidato, nos termos do art. 11, ou do art. 11-A, caso previsto no regimento interno do tribunal, ambos da Resolução CNJ nº 106/2010.  
§ 1º O adicional de valorização por lotação especial previsto neste artigo terá quantitativo e critérios definidos na Resolução CNJ nº 106/2010, e considerará proporcionalmente a quantidade de tempo em que o(a) magistrado(a) esteve lotado(a) e residiu efetivamente na sede da comarca.
(...)  ",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 4º Até que sobrevenha o Estatuto da Magistratura, a valorização para fins de remoção e promoção ou acesso por merecimento, prevista no inciso VII do art. 3º, consistirá em adicional de valorização por lotação especial, o qual incidirá após a apuração da média final do candidato, nos termos do art. 11, ou do art. 11-A, caso previsto no regimento interno do tribunal, ambos da Resolução CNJ nº 106/2010. 
(...)
§ 2º O adicional não será computado no caso de autorização para residir fora da Comarca, independentemente de seu fundamento ou de se tratar de condição especial de trabalho, ou qualquer hipótese de designação para atuar remotamente de fora daquela Comarca.",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 5º Até que sobrevenha o Estatuto da Magistratura, a licença compensatória prevista no inciso VIII do art. 3º será calculada com base nos mesmos critérios e hipóteses aplicáveis para a acumulação de funções administrativas e processuais extraordinárias por magistrados(as), nos seus âmbitos respectivos e regulamentados nos atos vigentes do Conselho da Justiça Federal e do Conselho Superior da Justiça do Trabalho, e corresponderá a 1 (um) dia de licença compensatória a cada 4 (quatro) dias de lotação com residência na sede da comarca, com possibilidade de conversão em indenização.  
(...)",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 5º Até que sobrevenha o Estatuto da Magistratura, a licença compensatória prevista no inciso VIII do art. 3º será calculada com base nos mesmos critérios e hipóteses aplicáveis para a acumulação de funções administrativas e processuais extraordinárias por magistrados(as), nos seus âmbitos respectivos e regulamentados nos atos vigentes do Conselho da Justiça Federal e do Conselho Superior da Justiça do Trabalho, e corresponderá a 1 (um) dia de licença compensatória a cada 4 (quatro) dias de lotação com residência na sede da comarca, com possibilidade de conversão em indenização.  
§ 1º O disposto no presente artigo aplica-se também aos Tribunais de Justiça, salvo se houver Lei Estadual específica que disponha sobre a matéria em simetria com o Ministério Público Estadual respectivo, na forma da Resolução CNJ nº 528/2023  
(...)",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 5º Até que sobrevenha o Estatuto da Magistratura, a licença compensatória prevista no inciso VIII do art. 3º será calculada com base nos mesmos critérios e hipóteses aplicáveis para a acumulação de funções administrativas e processuais extraordinárias por magistrados(as), nos seus âmbitos respectivos e regulamentados nos atos vigentes do Conselho da Justiça Federal e do Conselho Superior da Justiça do Trabalho, e corresponderá a 1 (um) dia de licença compensatória a cada 4 (quatro) dias de lotação com residência na sede da comarca, com possibilidade de conversão em indenização. 
(...) 
§ 2º A vantagem definida no caput é devida apenas na hipótese em que o(a) magistrado(a) esteja lotado(a) e resida efetivamente na sede da comarca, cessando o seu pagamento em caso de autorização para residir fora dela, independentemente de seu fundamento, ou qualquer hipótese de designação para atuar remotamente de fora daquela comarca  
(...)",Não ,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 6º Os(As) magistrados(as) lotados(as) nas comarcas definidas no art. 2º e afastados por licenças legais, tais como licença para tratamento de saúde, licença para mandato associativo e convocação, substituição ou auxílio em tribunal, conselho ou escola judicial, não perderão o direito às vantagens instituídas por esta Política, desde que permaneçam residindo na sede da respectiva comarca  ",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 7º O impacto financeiro desta Política correrá por conta do orçamento do Conselho da Justiça Federal, do Conselho Superior da Justiça do Trabalho, e da dotação própria de cada Tribunal de Justiça, em relação aos juízes federais, do trabalho e de direito, respectivamente. ",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 8º O Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais, nos seus âmbitos respectivos, poderão instituir política similar também a servidores(as), no que couber, observadas as especificidades de suas carreiras e regimes jurídicos próprios, e, no âmbito da União, o disposto na Lei Federal nº 8.112/90 e na Lei Federal nº 11.416/2006. ",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 9º O Observatório de Causas de Grande Repercussão do CNJ-CNMP e a Corregedoria Nacional de Justiça poderão conferir a natureza de unidade de atuação especial prevista no inciso IV do art. 2º a outras Unidades Judiciárias não contempladas pelo respectivo tribunal, quando verificadas situações excepcionais e enquanto estas perdurarem, para garantir a eficiência da prestação jurisdicional e para atender casos de elevada complexidade ou de grande repercussão ",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 10. O Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais deverão editar regulamentações, em até 90 (noventa) dias, encaminhando cópia à Corregedoria Nacional de Justiça e ao Observatório de Causas de Grande Repercussão do CNJ-CNMP. 
(...)",Não,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 10. O Conselho da Justiça Federal, o Conselho Superior da Justiça do Trabalho e os tribunais deverão editar regulamentações, em até 90 (noventa) dias, encaminhando cópia à Corregedoria Nacional de Justiça e ao Observatório de Causas de Grande Repercussão do CNJ-CNMP. 
Parágrafo único. Os eventuais efeitos financeiros decorrentes da implantação da Política serão devidos a partir de 1º de janeiro de 2025. ",Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
Art. 11. Esta Resolução entra em vigor na data de sua publicação.   ,Não é item de conformidade,Resolução nº 557/2024 - CNJ,CNJ,Tribunal Pleno
"Art. 1º O Procedimento Unificado de Remoção, para ocupantes do cargo de Juiz do Trabalho Substituto, será realizado pelo Conselho Superior da Justiça do Trabalho, de forma prévia à nomeação dos aprovados no Concurso Público Nacional Unificado para ingresso na Carreira da Magistratura do Trabalho, e, a qualquer tempo, a critério deste Conselho. 

Parágrafo único. Somente será provido cargo pelo Concurso Público Nacional Unificado se esse for previamente oferecido no Procedimento Unificado de Remoção. ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 2º Os Tribunais que participem do Concurso Público Nacional Unificado para ingresso na Carreira da Magistratura do Trabalho estão incluídos no Procedimento Unificado de Remoção. 

Parágrafo único. A participação no Procedimento Unificado de Remoção implica tanto a recepção de Juízes(as) do Trabalho Substitutos(as) removidos(as) de outros tribunais, quanto a autorização de remoção dos magistrados(as) que forem selecionados(as) para outros TRTs, nos termos das regras do Procedimento.  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 3º É vedado aos Tribunais Regionais do Trabalho promover remoção de magistrados(as) entre Regiões em hipóteses não contempladas por esta Resolução, ressalvada a permuta, nos termos do art. 93, VIII-B, da Constituição da República, inserido pela Emenda Constitucional n.º 130, de 3 de outubro de 2023.  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 4º Não se procederão permutas durante a realização do Procedimento Unificado de Remoção, desde a publicação do edital de abertura até a divulgação do resultado final.  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 5º A Presidência do CSJT fará publicar o edital do Procedimento Unificado de Remoção, no qual se explicitará as regras e parâmetros do procedimento. 

Parágrafo único. O edital de que trata o caput deste artigo definirá o percentual mínimo de provimento e vacância de cargos de Juiz do Trabalho Substituto em cada Tribunal a ser utilizado como referência no respectivo Procedimento.  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 6º A inscrição no Procedimento Unificado de Remoção far-se-á mediante formulário eletrônico disponibilizado pelo CSJT, segundo instruções constantes do edital. 
(...)",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 6º A inscrição no Procedimento Unificado de Remoção far-se-á mediante formulário eletrônico disponibilizado pelo CSJT, segundo instruções constantes do edital.

§ 1º No formulário de inscrição, o(a) magistrado(a) indicará os Tribunais para os quais tem interesse de se remover, por ordem de preferência, até o limite de 5 (cinco). ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 6º A inscrição no Procedimento Unificado de Remoção far-se-á mediante formulário eletrônico disponibilizado pelo CSJT, segundo instruções constantes do edital.
(...)
§ 2º No ato de inscrição, o(a) magistrado(a) declarará ciência dos termos da presente Resolução e do Edital, comprometendo-se a respeitá-los.  ",Sim,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 7º Não poderá participar do Procedimento Unificado de Remoção o(a) magistrado(a) que: 

I - esteja respondendo a processo disciplinar; 

II - sem justificativa, retenha autos em seu poder além do prazo legal (CR, art. 93, II, e); e 

III - acumule injustificadamente processos na vara ou gabinete que estejam sob sua jurisdição.   ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 8º Terminado o prazo para as inscrições, a Presidência do CSJT encaminhará aos Tribunais a lista nominal dos(as) inscritos(as), fixando prazo para que informem os dados de que trata o art. 9º desta Resolução, bem como declarem o cumprimento dos requeridos previstos no art. 7º do presente normativo  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 9º A classificação dos magistrados inscritos no Procedimento Unificado de Remoção observará os seguintes critérios sucessivos: 

I - maior tempo na carreira da Magistratura Trabalhista; 
II - melhor classificação no concurso para ingresso na magistratura, caso os(as) Juízes(as) Substitutos(as) sejam oriundos(as) do mesmo certame; 
III - data de posse mais antiga no Tribunal ao qual está vinculado, caso os Juízes Substitutos sejam oriundos de certames distintos; 
IV - idade maior.

§ 1º Em caso de empate em todos os critérios previstos nos incisos I a IV, será realizado sorteio. 

§ 2º Na hipótese do inciso II do caput, havendo magistrado oriundo das cotas de negros ou de pessoas com deficiência, será observada a ordem da lista alternada. ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"  Art. 10. A Secretaria do Conselho Superior da Justiça do Trabalho  processará as informações dos inscritos segundo os critérios desta Resolução, observadas as seguintes etapas: 
I - elaboração de lista hierarquizada dos(as) magistrados(as) inscritos, por ordem de atendimento aos critérios dispostos no art. 9º; 
II - análise da alocação de vagas disponíveis para cada magistrado, observada a ordem de classificação do inciso I, levando em consideração: 
a) a existência de vaga no Tribunal de destino;
b) a possibilidade de saída do magistrado do Tribunal de origem, observado o §1º; 
c) os deslocamentos de outros magistrados no contexto do próprio Procedimento Unificado de Remoção. 

§ 1º A possibilidade de saída de magistrados do Tribunal de origem de que trata a alínea b do inciso II levará em consideração o percentual mínimo de provimento (parágrafo único do art. 5º) aplicado aos Tribunais e o quantitativo de vagas a serem providas pelo Concurso Público Nacional Unificado, segundo critérios detalhados no edital do Procedimento. 

§ 2º O processamento de que trata este artigo será feito primeiramente em relação às opções alocadas com prioridade máxima pelos magistrados, após o qual será repetido levando em consideração as opções subsequentes.   ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 11. Os dados processados inicialmente, na forma do art. 9º, serão divulgados de forma preliminar e dinâmica, no sítio eletrônico do CSJT. 

§ 1º Divulgado o resultado preliminar, será aberto prazo de 24 (vinte e quatro) horas para que os Juízes do Trabalho Substitutos tenham ciência. 

§ 2º A não manifestação do Magistrado importará concordância tácita para a remoção ao Tribunal para o qual ele foi habilitado. 

§ 3º O Juiz do Trabalho Substituto que desistir da remoção para quaisquer dos Tribunais que manifestou interesse será excluído do Procedimento Unificado de Remoção em andamento. 

§ 4º Na hipótese de desistência de candidatos, na forma do parágrafo anterior, haverá novo processamento dos dados. 

§ 5º Os resultados preliminares não geram quaisquer direitos ao magistrado.  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
Art. 12. O resultado do Procedimento Unificado de Remoção será divulgado no sítio eletrônico do CSJT e publicado no Diário Eletrônico da Justiça do Trabalho.  ,Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 13. Após a publicação do resultado do Procedimento Unificado de Remoção, a Presidência do Conselho Superior da Justiça do Trabalho fixará os prazos e procedimentos para que os Tribunais envolvidos adotem as providências necessárias e efetivarem as respectivas remoções. 

§ 1º Caberá ao Tribunal destinatário fixar prazo razoável para trânsito do(a) magistrado(a), que constará expressamente do instrumento de remoção. 
(...)",Sim,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 13. Após a publicação do resultado do Procedimento Unificado de Remoção, a Presidência do Conselho Superior da Justiça do Trabalho fixará os prazos e procedimentos para que os Tribunais envolvidos adotem as providências necessárias e efetivarem as respectivas remoções. 

§ 2º Competirá ao Tribunal Regional de origem encaminhar ao Tribunal de destino a cópia do processo de vitaliciamento, além dos demais documentos necessários para possibilitar a remoção.  ",Sim,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 14. O(a) magistrado(a) removido(a) será posicionado como o(a) mais moderno(a) de sua classe na lista de antiguidade do Tribunal. 

Parágrafo único. Aplica-se o disposto no caput quando a remoção configurar retorno do(a) magistrado(a) ao Tribunal de origem, sendo vedado o cômputo do tempo de serviço anterior para efeito de posicionamento na lista de antiguidade.  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 15. O efeito jurídico da remoção se dará a contar da publicação dos atos respectivos pela Presidência de ambos os tribunais envolvidos, preferencialmente de forma concomitante.  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
" Art. 15. O efeito jurídico da remoção se dará a contar da publicação dos atos respectivos pela Presidência de ambos os tribunais envolvidos, preferencialmente de forma concomitante. 

§ 1º Caso não haja publicação concomitante, por se tratar de ato complexo, considerar-se-á a produção de seus efeitos quando da publicação do ato pelo último órgão. 
(...)  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
" Art. 15. O efeito jurídico da remoção se dará a contar da publicação dos atos respectivos pela Presidência de ambos os tribunais envolvidos, preferencialmente de forma concomitante. 
(...)
§ 2º O eventual período de trânsito será contado a partir da publicação do ato de remoção.  
(...)  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
" Art. 15. O efeito jurídico da remoção se dará a contar da publicação dos atos respectivos pela Presidência de ambos os tribunais envolvidos, preferencialmente de forma concomitante. 
(...)
§ 3º A antiguidade no Tribunal de destino será contada a partir da publicação dos atos de remoção, ainda que haja período de trânsito.  
(...)  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 15. O efeito jurídico da remoção se dará a contar da publicação dos atos respectivos pela Presidência de ambos os tribunais envolvidos, preferencialmente de forma concomitante. 
(...)
§ 4º A remoção publicada nos termos deste artigo é irrevogável pelos tribunais envolvidos e irrenunciável pelo(a) magistrado(a) movimentado, não estando sujeita a complementação posterior por meio de posse ou ato análogo de manifestação complementar de vontade.  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 16. É devida ajuda de custo ou indenização de transporte nas remoções de magistrados(as) deferidas nos termos desta Resolução, a ser paga pelo Tribunal Regional do Trabalho de destino.  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 17. Após o Procedimento Unificado de Remoção, os Tribunais Regionais do Trabalho comunicarão a conclusão das respectivas movimentações ao CSJT e, após, o quadro das vagas nos Tribunais Regionais do Trabalho será atualizado pelo Conselho Superior da Justiça do Trabalho, com vistas à nomeação dos aprovados no Concurso Público Nacional Unificado para Ingresso na Carreira da Magistratura do Trabalho.  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 18. Os procedimentos de remoção promovidos pelos Tribunais Regionais do Trabalho em andamento quando da publicação desta Resolução são considerados extintos, devendo ser arquivados. 

§ 1º Para efeito do presente artigo, são considerados procedimentos em andamento aqueles que, embora iniciados por requerimento ou edital anterior a esta Resolução, não tiveram as remoções efetivadas por meio da posse do magistrado interessado, ainda que deferidos no Tribunal de origem e/ou no Tribunal de destino, inclusive os processos suspensos em decorrência do Ato CSJT.GP.SECMAT n.º 3, de 19 de dezembro de 2022. 

§ 2º O disposto neste artigo não se aplica aos procedimentos de permuta, os quais poderão ter seguimento regular, ressalvado o disposto no art. 4º.   ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
Art. 19. Os casos omissos serão resolvidos pelo CSJT.  ,Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 20. Revogam-se: 

I - a Resolução CSJT n.º 182, de 24 de fevereiro de 2017; 
II - a Resolução CSJT n.º 188, de 24 de março de 2017; 
III - a Resolução CSJT n.º 191, de 30 de junho de 2017; 
IV - a Resolução CSJT n.º 349, de 30 de setembro de 2022; 
V - o Ato Conjunto CSJT.GP.GVP.CGJT n.º 9, de 23 de dezembro de 2020; VI - o Ato CSJT.GP.SECMAT n.º 3, de 19 de dezembro de 2022.  ",Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
Art. 21. Esta Resolução entra em vigor na data de sua publicação.   ,Não é item de conformidade,Resolução nº 383/2024 - CSJT,CSJT,Secretaria da Corregedoria
"Art. 1º Para a adoção de Perspectiva de Gênero nos julgamentos dos órgãos do Poder Judiciário, ficam estabelecidas as diretrizes constantes do protocolo aprovado pelo Grupo de Trabalho constituído pela Portaria CNJ n. 27/2021. ",Não é item de conformidade,Resolução nº 492/2023 - CNJ,CNJ,Escola Judicial
"Art. 2º Os tribunais, em colaboração com as escolas da magistratura, promoverão cursos de formação inicial e formação continuada que incluam, obrigatoriamente, os conteúdos relativos aos direitos humanos, gênero, raça e etnia, conforme as diretrizes previstas no Protocolo para Julgamento com Perspectiva de Gênero, os quais deverão ser disponibilizados com periodicidade mínima anual. 
(...) ",Sim,Resolução nº 492/2023 - CNJ,CNJ,Escola Judicial
"Art. 2º Os tribunais, em colaboração com as escolas da magistratura, promoverão cursos de formação inicial e formação continuada que incluam, obrigatoriamente, os conteúdos relativos aos direitos humanos, gênero, raça e etnia, conforme as diretrizes previstas no Protocolo para Julgamento com Perspectiva de Gênero, os quais deverão ser disponibilizados com periodicidade mínima anual. 
§1º A capacitação de magistradas e magistrados nas temáticas relacionadas a direitos humanos, gênero, raça e etnia, conforme artigo anterior, constará nos regulamentos para concessão do Prêmio CNJ de Qualidade.  
(...)",Não é item de conformidade,Resolução nº 492/2023 - CNJ,CNJ,Escola Judicial
